0,40.png,0.275951,-0.236702,0.309598,-0.538812,400.00,700.00
1,39.png,0.269873,-0.242887,0.409419,-0.551274,400.00,800.00
2,37.png,0.282009,-0.230498,0.478855,-0.487081,400.00,800.00
3,36.png,0.288046,-0.224276,0.546503,-0.519272,400.00,900.00
4,35.png,0.301251,-0.210527,0.517294,-0.548415,400.00,900.00
5,34.png,0.272307,-0.240415,0.548415,-0.517294,400.00,900.00
6,33.png,0.296461,-0.215536,0.543627,-0.522232,400.00,900.00
7,32.png,0.309598,-0.201734,0.532024,-0.533969,400.00,900.00
8,31.png,0.246589,-0.140653,0.409419,-0.551274,300.00,800.00
9,30.png,0.320265,-0.313162,0.433433,-0.530075,500.00,800.00
10,13.png,0.310787,-0.322625,0.551274,-0.514318,500.00,900.00
11,12.png,0.301251,-0.332029,0.514318,-0.551274,500.00,900.00
12,11.png,0.322625,-0.310787,0.456925,-0.508335,500.00,800.00
13,10.png,0.313162,-0.320265,0.478855,-0.487081,500.00,800.00
14,9.png,0.221783,-0.290455,0.542667,-0.523216,400.00,900.00
15,8.png,0.301251,-0.332029,0.514318,-0.551274,500.00,900.00
16,7.png,0.206762,-0.304833,0.532997,-0.532997,400.00,900.00
17,6.png,0.301251,-0.332029,0.314348,-0.534940,500.00,700.00
18,5.png,0.301251,-0.332029,0.524199,-0.541705,500.00,900.00
19,4.png,0.199216,-0.311975,0.527142,-0.538812,400.00,900.00
20,3.png,0.313162,-0.320265,0.520260,-0.545546,500.00,900.00
21,2.png,0.225522,-0.286840,0.409419,-0.551274,400.00,800.00
22,1.png,0.301251,-0.332029,0.531050,-0.534940,500.00,900.00
23,14.png,0.301251,-0.332029,0.454811,-0.510334,500.00,800.00
24,15.png,0.332029,-0.301251,0.455869,-0.509335,500.00,800.00
25,16.png,0.320265,-0.313162,0.514318,-0.551274,500.00,900.00
26,17.png,0.301251,-0.332029,0.373581,-0.484004,500.00,700.00
27,18.png,0.301251,-0.332029,0.433433,-0.530075,500.00,800.00
28,19.png,0.301251,-0.332029,0.383768,-0.474715,500.00,700.00
29,20.png,0.301251,-0.332029,0.333200,-0.519272,500.00,700.00
30,21.png,0.301251,-0.332029,0.461140,-0.504325,500.00,800.00
31,22.png,0.301251,-0.332029,0.464289,-0.501305,500.00,800.00
32,23.png,0.301251,-0.332029,0.469516,-0.496250,500.00,800.00
33,24.png,0.319083,-0.314348,0.532997,-0.532997,500.00,900.00
34,25.png,0.329683,-0.303640,0.524199,-0.541705,500.00,900.00
35,26.png,0.301251,-0.332029,0.531050,-0.534940,500.00,900.00
36,27.png,0.301251,-0.332029,0.367887,-0.489126,500.00,700.00
37,28.png,0.306026,-0.327334,0.328509,-0.523216,500.00,700.00
38,29.png,0.301251,-0.332029,0.369028,-0.488104,500.00,700.00
